id;categoria;nome;descricao;valor;cardapio_id
1;BEBIDA;killer Account;marca Calças;92806;1
2;BEBIDA;Direct cross-platform Markets;Rústico;28229;2
3;BEBIDA;Account;Licenciado HDD Rua;47887;3
4;SOBREMESA;Cross-group;alarm Chapéu;48913;4
5;SOBREMESA;Quality;program Forward;65052;5
6;SOBREMESA;Automotivo;cohesive circuit Madeira;1960;6
7;BEBIDA;productivity;Officer;11479;7
8;BEBIDA;viral;mão Borders portal;57746;8
9;PRATO;redefine;Berkshire Berkshire;92447;9
10;PRATO;content Inteligente Strategist;architecture Agent Seicheles;45330;10
